model,(Intercept),ECI_yoy_ch_3QMA_lag_4,avg_oil_pri_barrel_3QMA,Rl_est_Dub_q_yoy_ch_lag_1,avg_oil_pri_barrel_3QMA_lag_2,Non_oil_ECI_yoy_ch_3QMA_lag_3,Non_oil_ECI_yoy_ch_6QMA,avg_oil_pri_barrel,avg_oil_pri_barrel_3QMA_lag_1,avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel_lag_3,se.(Intercept),se.ECI_yoy_ch_3QMA_lag_4,se.avg_oil_pri_barrel_3QMA,se.Rl_est_Dub_q_yoy_ch_lag_1,se.avg_oil_pri_barrel_3QMA_lag_2,se.Non_oil_ECI_yoy_ch_3QMA_lag_3,se.Non_oil_ECI_yoy_ch_6QMA,se.avg_oil_pri_barrel,se.avg_oil_pri_barrel_3QMA_lag_1,se.avg_oil_pri_barrel_6QMA_lag_1,se.avg_oil_pri_barrel_lag_2,se.avg_oil_pri_barrel_lag_3,t.(Intercept),t.ECI_yoy_ch_3QMA_lag_4,t.avg_oil_pri_barrel_3QMA,t.Rl_est_Dub_q_yoy_ch_lag_1,t.avg_oil_pri_barrel_3QMA_lag_2,t.Non_oil_ECI_yoy_ch_3QMA_lag_3,t.Non_oil_ECI_yoy_ch_6QMA,t.avg_oil_pri_barrel,t.avg_oil_pri_barrel_3QMA_lag_1,t.avg_oil_pri_barrel_6QMA_lag_1,t.avg_oil_pri_barrel_lag_2,t.avg_oil_pri_barrel_lag_3,p.(Intercept),p.ECI_yoy_ch_3QMA_lag_4,p.avg_oil_pri_barrel_3QMA,p.Rl_est_Dub_q_yoy_ch_lag_1,p.avg_oil_pri_barrel_3QMA_lag_2,p.Non_oil_ECI_yoy_ch_3QMA_lag_3,p.Non_oil_ECI_yoy_ch_6QMA,p.avg_oil_pri_barrel,p.avg_oil_pri_barrel_3QMA_lag_1,p.avg_oil_pri_barrel_6QMA_lag_1,p.avg_oil_pri_barrel_lag_2,p.avg_oil_pri_barrel_lag_3,R2,adjR2,MAPE_test,MAPE_training,RMSE,pF,BP_statistic,BP_pvalue,dw_statistic,dw_pvalue,shapiro_statistic,shapiro_pvalue,adf_statistic,adf_pvalue,dfdirectioncheck,LHS,RHS,RHS1,RHS2,RHS3
DR ~ ECI_yoy_ch_3QMA_lag_4,0.0198,-0.1401,,,,,,,,,,,0.0017,0.0357,,,,,,,,,,,11.4275,-3.9274,,,,,,,,,,,0,5e-04,,,,,,,,,,,0.3636,0.34,0.389,0.5283,0.0074,5e-04,0.6652,0.4147,0.138,0,0.8946,0.0073,-1.8419,0.6332,1,DR , ECI_yoy_ch_3QMA_lag_4, ECI_yoy_ch_3QMA_lag_4, ECI_yoy_ch_3QMA_lag_4,ECI_yoy_ch_3QMA_lag_4
DR ~ avg_oil_pri_barrel_3QMA,0.041,,-3e-04,,,,,,,,,,0.0029,,0,,,,,,,,,,14.0636,,-9.1095,,,,,,,,,,0,,0,,,,,,,,,,0.7545,0.7454,0.0534,0.2547,0.0046,0,0.7277,0.3936,0.368,0,0.8988,0.0092,-1.5137,0.759,1,DR , avg_oil_pri_barrel_3QMA, avg_oil_pri_barrel_3QMA, avg_oil_pri_barrel_3QMA,avg_oil_pri_barrel_3QMA
DR ~ Rl_est_Dub_q_yoy_ch_lag_1,0.0171,,,-0.0413,,,,,,,,,0.0012,,,0.0076,,,,,,,,,14.1368,,,-5.4718,,,,,,,,,0,,,0,,,,,,,,,0.5258,0.5083,0.2941,0.5144,0.0063,0,0.2449,0.6207,0.2737,0,0.9753,0.708,-4.2347,0.0142,0,DR , Rl_est_Dub_q_yoy_ch_lag_1, Rl_est_Dub_q_yoy_ch_lag_1, Rl_est_Dub_q_yoy_ch_lag_1,Rl_est_Dub_q_yoy_ch_lag_1
DR ~ avg_oil_pri_barrel_3QMA_lag_2,0.0447,,,,-3e-04,,,,,,,,0.0021,,,,0,,,,,,,,20.9529,,,,-14.1876,,,,,,,,0,,,,0,,,,,,,,0.8817,0.8773,0.1209,0.1746,0.0032,0,1.4884,0.2225,0.8662,0.006,0.8626,0.0014,-4.6237,0.01,1,DR , avg_oil_pri_barrel_3QMA_lag_2, avg_oil_pri_barrel_3QMA_lag_2, avg_oil_pri_barrel_3QMA_lag_2,avg_oil_pri_barrel_3QMA_lag_2
DR ~ Non_oil_ECI_yoy_ch_3QMA_lag_3,0.0222,,,,,-0.1994,,,,,,,0.0021,,,,,0.0481,,,,,,,10.6659,,,,,-4.1432,,,,,,,0,,,,,3e-04,,,,,,,0.3887,0.366,0.3414,0.5206,0.0072,3e-04,0.1381,0.7102,0.1221,0,0.9171,0.0257,-3.9189,0.0259,1,DR , Non_oil_ECI_yoy_ch_3QMA_lag_3, Non_oil_ECI_yoy_ch_3QMA_lag_3, Non_oil_ECI_yoy_ch_3QMA_lag_3,Non_oil_ECI_yoy_ch_3QMA_lag_3
DR ~ Non_oil_ECI_yoy_ch_6QMA,0.0265,,,,,,-0.3013,,,,,,0.0022,,,,,,0.0532,,,,,,11.7955,,,,,,-5.6643,,,,,,0,,,,,,0,,,,,,0.543,0.5261,0.2889,0.4139,0.0062,0,1.0314,0.3098,0.1746,0,0.9247,0.0401,-3.6973,0.0421,1,DR , Non_oil_ECI_yoy_ch_6QMA, Non_oil_ECI_yoy_ch_6QMA, Non_oil_ECI_yoy_ch_6QMA,Non_oil_ECI_yoy_ch_6QMA
DR ~ avg_oil_pri_barrel,0.0364,,,,,,,-2e-04,,,,,0.0036,,,,,,,0,,,,,9.9722,,,,,,,-5.9834,,,,,0,,,,,,,0,,,,,0.5701,0.5542,0.1135,0.3903,0.006,0,0.5338,0.465,0.3424,0,0.9162,0.0244,-1.162,0.8938,1,DR , avg_oil_pri_barrel, avg_oil_pri_barrel, avg_oil_pri_barrel,avg_oil_pri_barrel
DR ~ avg_oil_pri_barrel_3QMA_lag_1,0.0437,,,,,,,,-3e-04,,,,0.0023,,,,,,,,0,,,,19.3143,,,,,,,,-12.9396,,,,0,,,,,,,,0,,,,0.8611,0.856,0.1008,0.169,0.0034,0,1.247,0.2641,0.6479,0,0.7968,1e-04,-4.1853,0.016,1,DR , avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_1, avg_oil_pri_barrel_3QMA_lag_1,avg_oil_pri_barrel_3QMA_lag_1
DR ~ avg_oil_pri_barrel_6QMA_lag_1,0.0484,,,,,,,,,-4e-04,,,0.0022,,,,,,,,,0,,,22.2117,,,,,,,,,-15.5425,,,0,,,,,,,,,0,,,0.8995,0.8957,0.2076,0.1963,0.0029,0,1.4109,0.2349,0.6736,0,0.9865,0.9642,-4.0262,0.0216,1,DR , avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_6QMA_lag_1, avg_oil_pri_barrel_6QMA_lag_1,avg_oil_pri_barrel_6QMA_lag_1
DR ~ avg_oil_pri_barrel_lag_2,0.0424,,,,,,,,,,-3e-04,,0.0024,,,,,,,,,,0,,17.8231,,,,,,,,,,-11.7686,,0,,,,,,,,,,0,,0.8369,0.8308,0.0984,0.1861,0.0037,0,1.1175,0.2905,0.808,0,0.8498,8e-04,-3.6182,0.0478,1,DR , avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_lag_2, avg_oil_pri_barrel_lag_2,avg_oil_pri_barrel_lag_2
